,Country,Year,Value,Continent
616,Oman,2015,100.00670041666666,Asia
617,Oman,2016,98.83327133333334,Asia
618,Oman,2017,99.37979975,Asia
619,Oman,2018,98.68860174999999,Asia
620,Oman,2019,99.88614258333332,Asia
621,Oman,2020,101.13190641666667,Asia
622,Oman,2021,101.97581083333334,Asia
623,Oman,2022,106.75771755555554,Asia
624,Pakistan,2010,69.94080766666667,Asia
625,Pakistan,2011,80.12575525,Asia
626,Pakistan,2012,86.92057708333334,Asia
627,Pakistan,2013,94.02327824999999,Asia
628,Pakistan,2014,99.46695725000001,Asia
629,Pakistan,2015,100.01676958333333,Asia
630,Pakistan,2016,102.47252141666667,Asia
631,Pakistan,2017,105.8404095,Asia
632,Pakistan,2018,108.15774975,Asia
633,Pakistan,2019,119.70179308333333,Asia
634,Pakistan,2020,138.1991495,Asia
635,Pakistan,2021,152.71796666666668,Asia
