Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","470","Malta","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","113.11737","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","112.889385","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","113.501146","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","114.311594","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","114.790514","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","114.921923","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","114.753739","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","115.647435","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","114.553334","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","114.588268","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","113.980909","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","114.662415","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","114.425512","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","114.937529","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","115.35096","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","115.39866","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","115.186914","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","114.800595","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","115.324747","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","116.25215","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","117.069348","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","117.149423","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","117.340102","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","118.192173","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","118.589394","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","118.844006","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","120.542758","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2021","2021","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","121.097336","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","123.174263","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","124.009585","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","124.665412","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","126.939245","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","128.618232","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","128.856764","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","130.815033","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","131.317692","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","470","Malta","2022","2022","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","132.605738","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","56.741597","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","496","Mongolia","2010","2010","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","60.344238","X","Figure from international organizations","base year is 2015"
